,volume,DailyTweetAmounts
"May 14, 2019",-19.286347026907325,18
"May 15, 2019",-7.1509414548821875,8
"May 16, 2019",18.557919621749424,8
"May 17, 2019",-11.590229312063803,15
"May 20, 2019",-1.4801240484916822,19
"May 21, 2019",-6.6855057948204335,17
"May 22, 2019",-7.325487790853679,34
"May 23, 2019",31.0969556585043,28
"May 24, 2019",-36.46431501230517,11
"May 28, 2019",78.26885832050453,10
"May 29, 2019",-16.727951417906294,8
"May 30, 2019",-27.996520924631184,20
"May 31, 2019",35.769373722356455,12
"Jun 10, 2019",-5.220333827611112,20
"Jun 11, 2019",1.6888639281129605,20
"Jun 12, 2019",-11.755887806225095,23
"Jun 13, 2019",-4.600116232285756,22
"Jun 14, 2019",-2.521087160262414,13
"Jun 17, 2019",-4.0957600230747016,10
"Jun 18, 2019",37.08771929824562,16
"Jun 19, 2019",-11.898058429924307,11
"Jun 20, 2019",15.44718821332227,5
"Jun 21, 2019",74.55512815903944,10
"Jun 24, 2019",-52.1397973473927,13
"Jun 25, 2019",21.416584190369647,14
"Jun 26, 2019",-2.771477176070314,50
"Jun 27, 2019",-9.991251731428152,7
"Jun 28, 2019",102.22330215040701,4
"Jul 10, 2019",-4.735950167178126,17
"Jul 11, 2019",21.303908841771246,45
"Jul 12, 2019",-1.549742370194218,45
"Jul 15, 2019",-19.590160634486086,16
"Jul 16, 2019",13.15275622089822,14
"Jul 17, 2019",-14.190265486725659,15
"Jul 18, 2019",11.416490486257924,13
"Jul 19, 2019",33.146665432498736,22
"Jul 22, 2019",-24.811428968681568,18
"Jul 23, 2019",15.043225001155758,20
"Jul 24, 2019",-1.8203737191078928,42
"Jul 25, 2019",-1.186967910936476,16
"Jul 26, 2019",-3.218457460028168,17
"Jul 29, 2019",7.361438048362934,24
"Jul 30, 2019",16.902531393262898,26
"Jul 31, 2019",31.33844842284741,23
"Aug 12, 2019",-17.010738366769328,13
"Aug 13, 2019",54.922513666683386,49
"Aug 14, 2019",14.033667853674324,15
"Aug 15, 2019",-5.578424414478357,36
"Aug 16, 2019",-16.954299458809384,25
"Aug 19, 2019",-8.53336229680316,16
"Aug 20, 2019",-5.755224825839133,32
"Aug 21, 2019",-12.309953800923976,26
"Aug 22, 2019",6.71488098088988,37
"Aug 23, 2019",63.48458327723172,39
"Aug 26, 2019",-38.84038873332236,14
"Aug 27, 2019",18.291588113834266,19
"Aug 28, 2019",-21.42450574887109,18
"Aug 29, 2019",0.7630269957019431,11
"Aug 30, 2019",949.9928109273905,26
"Sep 10, 2019",18.021382542472164,33
"Sep 11, 2019",-15.434013774275613,39
"Sep 12, 2019",-8.28350269635717,15
"Sep 13, 2019",2.0999160033598585,9
"Sep 16, 2019",-13.570477160542193,35
"Sep 17, 2019",1.3416734656876097,8
"Sep 18, 2019",-4.794704356382507,45
"Sep 19, 2019",-0.2348961758902535,12
"Sep 20, 2019",134.33791674514976,10
"Sep 23, 2019",-58.95828309621414,17
"Sep 24, 2019",47.742851547199365,20
"Sep 25, 2019",-21.38525269262634,32
"Sep 26, 2019",-3.3892589157743847,60
"Sep 27, 2019",-4.974256043284751,23
"Sep 30, 2019",2.2499770410506104,26
"Oct 10, 2019",14.532252972745454,22
"Oct 11, 2019",29.584711503123852,59
"Oct 14, 2019",-36.677538287010776,34
"Oct 15, 2019",37.448214085768655,20
"Oct 16, 2019",-12.565679605718705,30
"Oct 17, 2019",3.6709214571881033,23
"Oct 18, 2019",29.85081333692818,22
"Oct 21, 2019",-16.58995743502786,27
"Oct 22, 2019",10.156412064888194,32
"Oct 23, 2019",-6.715377951866221,42
"Oct 24, 2019",2.3861434108527035,13
"Oct 25, 2019",8.288970385267568,47
"Oct 28, 2019",5.884709223990381,18
"Oct 29, 2019",-7.2772294253189775,56
"Oct 30, 2019",-14.042505841771447,26
"Oct 31, 2019",16.8975188781014,44
"Nov 11, 2019",-8.620845375722544,28
"Nov 12, 2019",5.594267358537186,19
"Nov 13, 2019",30.289699068657285,49
"Nov 14, 2019",9.18854843923991,30
"Nov 15, 2019",-6.6618416291081335,37
"Nov 18, 2019",-11.067249400817705,15
"Nov 19, 2019",-2.548351299936591,43
"Nov 20, 2019",4.981902476717237,35
"Nov 21, 2019",-10.118540326954363,35
"Nov 22, 2019",-7.430393931557622,28
"Nov 25, 2019",15.662538411397707,21
"Nov 26, 2019",30.44440866274858,18
"Nov 27, 2019",-38.83351334670575,9
"Nov 29, 2019",-39.14030573634024,1
"Dec 10, 2019",-1.7281105990783363,39
"Dec 11, 2019",0.1219226260257944,77
"Dec 12, 2019",30.082900098356056,123
"Dec 13, 2019",-9.750126017138328,23
"Dec 16, 2019",14.405968243836265,57
"Dec 17, 2019",0.0,21
"Dec 18, 2019",1.0879799142169633,70
"Dec 19, 2019",-9.424264376142675,73
"Dec 20, 2019",129.9501085424839,48
"Dec 23, 2019",-62.97823710623074,29
"Dec 24, 2019",-61.459311949179074,12
"Dec 26, 2019",81.04468949506673,35
"Dec 27, 2019",16.86862858241969,55
"Dec 30, 2019",-0.3730524467851604,5
"Dec 31, 2019",6.464757709251101,54
"Jan 10, 2020",-13.535228677379484,40
"Jan 13, 2020",5.045620821595254,24
"Jan 14, 2020",15.054236881079142,20
"Jan 15, 2020",-9.452407458947953,26
"Jan 16, 2020",-3.1352057478772015,25
"Jan 17, 2020",27.650628693824128,31
"Jan 21, 2020",-0.3666645951152847,5
"Jan 22, 2020",-11.601796407185626,142
"Jan 23, 2020",8.333333333333325,29
"Jan 24, 2020",23.7575718100697,78
"Jan 27, 2020",-11.247072445461958,51
"Jan 28, 2020",-2.114033267115367,36
"Jan 29, 2020",-8.435815108741751,29
"Jan 30, 2020",8.124648516325372,44
"Jan 31, 2020",23.57044515832951,16
"Feb 10, 2020",-0.9293680297397744,15
"Feb 11, 2020",11.588359746117913,47
"Feb 12, 2020",10.72833941475282,17
"Feb 13, 2020",-5.938035085452143,10
"Feb 14, 2020",-20.659453889747546,23
"Feb 18, 2020",11.082251082251094,37
"Feb 19, 2020",-6.219797349961032,41
"Feb 20, 2020",19.589428191489368,33
"Feb 21, 2020",8.141635971922991,47
"Feb 24, 2020",45.42591819028953,39
"Feb 25, 2020",13.409783905607851,22
"Feb 26, 2020",-7.952929257505792,46
"Feb 27, 2020",40.75140226478992,11
"Feb 28, 2020",37.74699990977173,24
"Mar 10, 2020",-12.73536505736711,32
"Mar 11, 2020",1.3896099929755934,23
"Mar 12, 2020",36.794385203927945,47
"Mar 13, 2020",-7.176359192301762,30
"Mar 16, 2020",-8.652796887602598,29
"Mar 17, 2020",2.9774193967252227,47
"Mar 18, 2020",9.873149572541797,20
"Mar 19, 2020",-10.450330517811237,62
"Mar 20, 2020",11.78905549147764,9
"Mar 23, 2020",-9.666509990943384,52
"Mar 24, 2020",1.4429483355965278,28
"Mar 25, 2020",-0.3778116946480892,32
"Mar 26, 2020",-11.445147679324894,8
"Mar 27, 2020",-16.499333503502655,43
"Mar 30, 2020",-7.35186726219792,13
"Mar 31, 2020",4.705429482714374,26
