,DailyTweetAmounts
"Nov 1, 2018 ",9
"Oct 31, 2018",20
"Oct 30, 2018",8
"Oct 29, 2018",22
"Oct 28, 2018",3
"Oct 27, 2018",17
"Oct 26, 2018",12
"Oct 25, 2018",17
"Oct 24, 2018",8
"Oct 23, 2018",8
"Oct 22, 2018",20
"Oct 21, 2018",5
"Oct 20, 2018",10
"Oct 19, 2018",10
"Oct 18, 2018",18
"Oct 17, 2018",20
"Oct 16, 2018",22
"Oct 15, 2018",10
"Oct 14, 2018",8
"Oct 13, 2018",12
"Oct 12, 2018",14
"Oct 11, 2018",6
"Oct 10, 2018",24
"Oct 9, 2018 ",21
"Oct 8, 2018 ",9
"Oct 7, 2018 ",2
"Oct 6, 2018 ",8
"Oct 5, 2018 ",9
"Oct 4, 2018 ",12
"Oct 3, 2018 ",12
"Oct 2, 2018 ",14
"Oct 1, 2018 ",8
"Sep 30, 2018",3
"Sep 29, 2018",5
"Sep 28, 2018",1
"Sep 27, 2018",1
"Sep 26, 2018",12
"Sep 25, 2018",13
"Sep 24, 2018",14
"Sep 23, 2018",3
"Sep 22, 2018",3
"Sep 21, 2018",28
"Sep 20, 2018",17
"Sep 19, 2018",7
"Sep 18, 2018",14
"Sep 17, 2018",30
"Sep 16, 2018",8
"Sep 15, 2018",11
"Sep 14, 2018",31
"Sep 13, 2018",22
"Sep 12, 2018",9
"Sep 11, 2018",15
"Sep 10, 2018",23
"Sep 9, 2018 ",13
"Sep 8, 2018 ",10
"Sep 7, 2018 ",10
"Sep 6, 2018 ",10
"Sep 5, 2018 ",12
"Sep 4, 2018 ",16
"Sep 3, 2018 ",15
"Sep 2, 2018 ",3
"Sep 1, 2018 ",19
"Aug 31, 2018",8
"Aug 30, 2018",15
"Aug 29, 2018",20
"Aug 28, 2018",17
"Aug 27, 2018",10
"Aug 26, 2018",8
"Aug 25, 2018",9
"Aug 24, 2018",16
"Aug 23, 2018",10
"Aug 22, 2018",16
"Aug 21, 2018",11
"Aug 20, 2018",13
"Aug 19, 2018",6
"Aug 18, 2018",12
"Aug 17, 2018",16
"Aug 16, 2018",16
"Aug 15, 2018",23
"Aug 14, 2018",12
"Aug 13, 2018",19
"Aug 12, 2018",4
"Aug 11, 2018",10
"Aug 10, 2018",8
"Aug 9, 2018 ",6
"Aug 8, 2018 ",5
"Aug 7, 2018 ",9
"Aug 6, 2018 ",10
"Aug 5, 2018 ",10
"Aug 4, 2018 ",13
"Aug 3, 2018 ",25
"Aug 2, 2018 ",10
"Aug 1, 2018 ",16
"Jul 31, 2018",19
"Jul 30, 2018",16
"Jul 29, 2018",18
"Jul 28, 2018",1
"Jul 27, 2018",16
"Jul 26, 2018",10
"Jul 25, 2018",16
"Jul 24, 2018",16
"Jul 23, 2018",12
"Jul 22, 2018",8
"Jul 21, 2018",7
"Jul 20, 2018",14
"Jul 19, 2018",12
"Jul 18, 2018",13
"Jul 17, 2018",8
"Jul 16, 2018",10
"Jul 15, 2018",15
"Jul 14, 2018",12
"Jul 13, 2018",4
"Jul 12, 2018",10
"Jul 11, 2018",18
"Jul 10, 2018",16
"Jul 9, 2018 ",9
"Jul 8, 2018 ",5
"Jul 7, 2018 ",9
"Jul 6, 2018 ",2
"Jul 5, 2018 ",9
"Jul 4, 2018 ",4
"Jul 3, 2018 ",21
"Jul 2, 2018 ",3
"Jul 1, 2018 ",5
"Jun 30, 2018",14
"Jun 29, 2018",5
"Jun 28, 2018",11
"Jun 27, 2018",12
"Jun 26, 2018",19
"Jun 25, 2018",18
"Jun 24, 2018",8
"Jun 23, 2018",24
"Jun 22, 2018",17
"Jun 21, 2018",17
"Jun 20, 2018",16
"Jun 19, 2018",12
"Jun 18, 2018",8
"Jun 17, 2018",18
"Jun 16, 2018",6
"Jun 15, 2018",19
"Jun 14, 2018",7
"Jun 13, 2018",13
"Jun 12, 2018",14
"Jun 11, 2018",6
"Jun 10, 2018",7
"Jun 9, 2018 ",10
"Jun 8, 2018 ",8
"Jun 7, 2018 ",21
"Jun 6, 2018 ",9
"Jun 5, 2018 ",25
"Jun 4, 2018 ",14
"Jun 3, 2018 ",5
"Jun 2, 2018 ",17
"Jun 1, 2018 ",6
"May 31, 2018",12
"May 30, 2018",14
"May 29, 2018",7
"May 28, 2018",10
"May 27, 2018",5
"May 26, 2018",10
"May 25, 2018",18
"May 24, 2018",10
"May 23, 2018",16
"May 22, 2018",5
"May 21, 2018",10
"May 20, 2018",9
"May 19, 2018",5
"May 18, 2018",11
"May 17, 2018",11
"May 16, 2018",10
"May 15, 2018",9
"May 14, 2018",6
"May 13, 2018",5
"May 12, 2018",3
"May 11, 2018",4
"May 10, 2018",5
"May 9, 2018 ",9
"May 8, 2018 ",7
"May 7, 2018 ",11
"May 5, 2018 ",1
"May 4, 2018 ",13
"May 3, 2018 ",6
"May 2, 2018 ",10
"May 1, 2018 ",7
"Apr 30, 2018",7
"Apr 29, 2018",6
"Apr 28, 2018",7
"Apr 27, 2018",13
"Apr 26, 2018",2
"Apr 25, 2018",8
"Apr 24, 2018",10
"Apr 23, 2018",4
"Apr 22, 2018",8
"Apr 21, 2018",16
"Apr 20, 2018",10
"Apr 19, 2018",13
"Apr 18, 2018",14
"Apr 17, 2018",23
"Apr 16, 2018",8
"Apr 15, 2018",9
"Apr 14, 2018",3
"Apr 13, 2018",6
"Apr 12, 2018",10
"Apr 11, 2018",12
"Apr 10, 2018",6
"Apr 9, 2018 ",4
"Apr 8, 2018 ",8
"Apr 7, 2018 ",7
"Apr 6, 2018 ",7
"Apr 5, 2018 ",4
"Apr 4, 2018 ",6
"Apr 3, 2018 ",8
"Apr 2, 2018 ",14
"Apr 1, 2018 ",4
"Mar 31, 2018",3
"Mar 30, 2018",1
